"matter","qcasenumber"
"056986-0006"," Case No.: 08-22779-Civ-Jordan"
"064346-5378","14-000875-NP"
"060913-0010","07cv4266"
"067725-0004","08-bk-10277-BB"
"063065-0145","1858"
"058110-0178","C1103403 PSG"
"013746-0113"," L5759-14"
"064346-2777","BC477549"
"102240-0079","433-2014-01439"
"064333-6411","12-C-2323"
"052735-0142","08CV3341RMB-JS"
"039408-1550","14-22725"
"105817-0003","20-CA-254885"
"031895-5003","24X87048500"
"104907-0853","15-C-479"
"064346-7529","14-15369-NP"
"009532-1371","BC541892"
"103971-0204","18-02542"
"058074-0251","14-4315"
"067696-1462","CGC10275429"
"064346-7065","14-C-858 KAN"
"063224-0070","BC428176"
"018743-0177","01-16-0001-4799"
"064346-3232","RG12655521"
"103971-0187","19-35401"
"010444-0013","2:13-cv-02923"
"112890-0012","6SC00433"
"109463-0005","2557 EDA 2018"
"011281-0005","13CV00944"
"039408-1283","14CE01829"
"049673-0453","2018-STA-00044"
"104147-0001","14-2139  16-55844 17-55157"
"058110-0199","112-CV-218390"
"067654-0382","2009 CA  000376 A"
"104639-0014","BC719722"
"064346-1328","10-C-672"
"063224-0074","2:10-CV-02611-JD"
"049673-0934","19STCV15965"
"064333-0042","CGC-04-434402"
"104907-0322","14-C-904"
"106524-0035","RG14721882"
"012308-0124","09-cv-7293"
"067654-0360","24X01001360"
"106965-1326","CV06-5001686S"
"017161-0262","CGC-18-565627"
"106964-4011","1406-2844"
"060771-0068","1100053301"
"020787-1372","12-C-751 KAN"
"064333-6078","12-C-1872"
"102219-0020","2:11-cv-07027"
"020787-4315","13-48869"
"064346-8203","15-000334"
"064346-0295","CGC-06-449117"
"020787-8610","15-C-75"
"020209-0003","50117T0082612"
"107153-0024","16-36522"
"054345-0011","08 CV 4854"
"064346-2591","GD-12-000397"
"049067-0128","18-3558"
"117003-3354","16-C-0077"
"067699-0001","C084504 BZ"
"034913-0467","79D01-0605-CT-00123"
"037492-0215","15-cv-03852"
"064346-8705","2015-1420"
"059250-0016","1:11-cv-01027"
"052701-0493","33 160 0048 11"
"060495-0236","211CV03327"
"064346-1843","09C-06-032 ASB"
"106964-5008","15-C-895"
"025010-0228","BC478006"
"064329-0059","09-C-1772"
"058825-0022","07-03080"
"021288-0960","17-C-633"
"067654-0359","08-1093"
"069457-0076","8:10-cv-2712"
"059814-0010","07-0373"
"117003-9647","17-C-114KAN"
"064329-1991","15-008068"
"049673-0864","19-1156"
"067696-1101","CGC-07-274282"
"034664-0628","KC069576."
"039821-0313","2:12CV-01689"
"063134-0033","07-4861"
"020814-0043","17-cv-02914"
"020787-3872","13-14848-NP"
"067696-1518","CGC10275331"
"038260-0120","18-01472"
"010601-0044","16 cv 2330"
"124337-0002","19stcv21214"
"002579-0157","12-02094"
"103449-0005","15-3607"
"039408-0661","13 cv 5470"
"064333-1536","08-L-414"
"064612-0009","BC360236"
"009974-1279","05-07-CA-19219"
"064334-0036","10-C-1535"
"052434-0281","CGC-19-581304"
"117003-9498","17-0114-NP"
"064333-5075","CGC10275575"
"022262-0584","C07-00540 CW"
"064346-7189","1:14-cv-269443"
"010641-0006","16cv1251"
"066373-0017","650174-2009"
"051078-0201","15-07074"
"064318-0044","06-7541"
"037492-0219","15-cv-03926"
"106524-0019","RG14750969"
"064346-1021","CGC10275632"
"054624-0015","3:06-cv-00084"
"114262-0006","16-cv-00098"
"117003-1037","12-020415"
"004056-0137","BC434767"
"064346-1141","08-C-3103"
"067696-1788","BC510398"
"011044-0001","18-cv-3265"
"064338-0241","FCS042295"
"020787-8644","15-15527-NP"
"067696-1081","CGC08274801"
"052434-0269","19 cv 10171"
"102504-0271","16-cv-00217"
"002451-0014","11-C-415"
"103752-0015","328-2015"
"055089-0003","4:14-CV-367-MGL"
"095540-0764","CL09002153"
"066723-0001","1:05-cv-04095"
"106524-0018","RG15756758              "
"020787-7944","CV-13-816280"
"064346-0293","CGC06456546"
"100478-0105","30201801016316"
"102504-0176","410-2012-06187"
"000741-0106","14 cv 8513"
"066629-0102","2:08-cv-05414"
"097041-0046","095-79-9137"
"064333-5763","N11C-02-119"
"066629-0058","07-30367-CA-31"
"069749-0019","09-80641"
"063749-0004","50-247 & 50-286"
"064329-0122","09-C-2252"
"009532-1675","L-3808-15"
"064345-0018","CGC-07-274446"
"114843-0011","17-7781"
"107507-0081","16-cv-00054"
"010490-0014","19-00143"
"037492-0280","01-15-0004-4098"
"064346-5393","14-C-102"
"060272-0219","13-03607"
"064346-8948","15-005790-NP"
"020787-7774","13-C-1034KAN"
"054157-0033","2:06-CV-2234-LKK-KJM"
"104680-0005","0564"
"100972-0044","17-03697"
"064333-0458","BC398772"
"064333-6253","CL12-03041F-15 (TF)"
"064333-4654","BC443458"
"039408-0437","73 434 E 00221 13 hepo"
"097066-0086","PN574100; SBI #633355D"
"100812-0033","161230/14"
"007568-0211","8:07-cv-1809 "
"064338-0066","RG06256642"
"064385-0152","17-02602"
"064346-5992","14-008232-NP"
"020787-1914","12-48589"
"039408-0349","13-cv-21107"
"064346-7028","14-C-958"
"106965-1028","2014-01635"
"048830-0060","6:07-cv-1262"
"034664-0609","1785CV00929"
"116855-0003","12984"
"111730-0001","14-6627"
"009532-2156","2194"
"064346-4640","FCS042295"
"097063-0050","671713A"
"046335-0148"," 20180580170 "
"064333-2337","CGC08274985"
"063292-0073","18-1279"
"063784-0107","CGC08478150"
"062016-0011","07-20614"
"049065-0262","2:11-cv-04450"
"000257-0974","07-3899"
"045390-0447","CV1103640 EJD"
"037492-0137","01-15-0004-0676"
"001482-0039","564-2016-00221"
"064318-0522","24X12000297"
"104907-0952","2015L005731"
"107046-0271","220cv00407"
"064333-7816","BC470843"
"010371-0003","2:08-bk-13884"
"097065-0085","18ccad00095"
"103971-0027","16-3574"
"097054-0042","2016-03547"
"067696-1440","CGC10275624"
"064333-7054","11-C-767"
"064333-8322","11-C-2180"
"039408-1368","KC067021"
"111118-0022","17cv01800"
"059799-0078","2011-L-010988"
"107046-0268","19CV359991"
"052776-0089","BC365785"
"018743-0172","01-16-0000-2065"
"058433-0059","BC 304801"
"052339-0061","50-352-LR; 50-353-LR"
"105965-0011","15-cv-2277"
"058074-0239","10CI01524"
"059055-0016","107CV081028"
"064333-9249","CL12-00644P-03(DP)"
"067654-0921","24X12000263"
"097042-0020","5:13-cv-3066"
"030194-0001","12-60415-CIV-SCOLA"
"097014-0053"," KC046102"
"064318-0752","14-008389-NP"
"060771-0132","1240021223"
"020787-9300","17-C-35 KAN"
"042648-0158","CL09001322"
"020787-6269","GD19012937"
"052701-0352","07 CV 1535"
"002579-0351","16-cv-03294"
"000250-0026","14-027893 CA 01"
"069218-0005","110CV12125"
"064346-2408","67972011"
"117635-0002","UNN-L-002434"
"064346-1104","09-020033"
"117584-0012","1220061939"
"027250-0090","08CV05377-MHP"
"107046-0159","30201801039727"
"063292-0034","16-11639"
"064338-0037","RG05233875"
"066842-0083","2019CF1093."
"103971-0070","216CV8776 DMG"
"103904-0107","RC541998"
"063331-0180","3:08-cv-235-WHA"
"097015-0231","115684"
"065240-0009","103CV010007"
"053097-0052","3:09CV01407"
"049065-0475","4:17-cv-03786"
"107046-0289","20-CV-1108"
"020787-0402","RG12622216"
"049065-0139","04 CV 02219"
"117003-2688","CL15-00212P-03 (DP)"
"009532-3191","020CV60141"
"017381-0393","MON-L-2333-06"
"120563-0001","17-00579"
"030511-0002"," 976364"
"010723-0003","15 cv 5457"
"106969-0247","15-C-75"
"002579-0488","510-2018-01209"
"000722-0045","15-2155"
"064333-1079","BC379085"
"039408-0821","37201400082543CUORNC"
"067696-1754","13-802571"
"058120-0171","18vecv00248"
"009532-0782","CV095565CBM"
"068715-0047","13-2875"
"104611-0001","MID-L-001399-12"
"064333-9194","CGC13276128"
"107161-0099","16 cv 6496"
"064346-5615","14-004010-NP"
"067696-2068","CGC15276444"
"063785-0195"," A-001262-16"
"122601-0001","18-01377"
"106964-4808","2008-3206"
"103904-0096","JCCP4674/BC"
"043151-0026","07-2667"
"058110-0138","09-157-JAP"
"001734-0054","10190887"
"039408-1074","7095/11"
"114262-0040","18 cv 13184 "
"048059-0006","07-6404"
"052701-0596","R616809816"
"060771-0107","11 CH 16936"
"064338-0237","RG14745235"
"107046-0258","19cv08471"
"043451-0200","2:10CV07843 JFW E"
"063134-0136","CIVDS1514939"
"067654-0936","GLR-12-461"
"064346-9118","15-026410"
"117003-6420","17-011650"
"064333-3853","10-C-367"
"000407-0031","512MC80107 EJD PSG"
"020787-1324","BC471991"
"097058-0042","16-2522"
"064333-7964","GD-11-022584"
"002513-0019","18 300 00171 09"
"069114-0002","BC399700"
"064346-5214","14-C-105 KAN"
"064347-0892","03-C-9600"
"112890-0018","BC624152"
"064333-7870","RG11591636"
"000201-0016","12-017721"
"037492-0070","14-cv-03345"
"003295-0001","13cv5859"
"064346-0732","CGC09275141"
"069508-0001","CV156610"
"052715-0620","17-02587"
"064336-0183","16-001437"
"064333-6252","700CL1203042P-03"
"067654-0907","No. 24X04000403"
"037492-0036","ADJ7816088"
"097045-0081","131385"
"049065-0349","01-14-0000-0539"
"001799-0012","2:13-cv-02197"
"097055-0002","2016-2496"
"018180-0196","CV11-07679"
"064346-5628","2014-1976"
"045390-0415","11 cv 5187"
"064347-0419","BC447695"
"049065-0396","011500032280"
"064346-1338","BC456922"
"049673-0038","530-2012-03128"
"117003-7325","2016 CA 003998 A"
"049065-0216","MSC0903415"
"020787-8080"," 01-17114 (27)"
"020787-8513","14-49730-NP"
"064344-0798","BC484454"
"062016-0025"," 510-2011-02257"
"097076-0113","001014"
"059799-0027","8:08-CV-708-EAK-MAP"
"064346-2975","110500563"
"013746-0136","17-00563"
"064346-2761","11-1949"
"068068-0040","A0803190"
"104305-0001","RIC1309741"
"052776-0143","21-CA-39434"
"106964-5360","15-015970"
"036880-0037","09-07227"
"049673-0886","19-09227"
"120792-0001","18-01210"
"064346-1180","RG10496251"
"064329-0129","10-C-250"
"104291-0006","17-cv-06094"
"059501-0009","07 CV 3053"
"049673-0650","470-2018-01567"
"037492-0164","15-03045"
"064346-0422","CGC-08-274553"
"068068-0082","BC482678"
"064346-0468","CGC07274430"
"034884-0028","15-cv-628"
"018180-0338","16-cv-07225"
"064346-7937","14-013388-NP"
"106964-2591","2014-3038"
"017381-0617","15cv5794"
"112149-0004","1477CV00905"
"020787-8358","14-15263-NP"
"062454-0008","650661-2009"
"064347-0009","CGC06450751"
"114096-0002","15 cv 1702"
"062649-0003","04cv4013"
"054553-0121","2:14-cv-02370"
"062335-0006","BKS0711821LBR"
"097025-0110"," 2:17-cv-00147-GEKP "
"064333-1524","RG08390002"
"000722-0044","1086828"
"020787-2068","24X12000715"
"064346-3696","11-014107-NP"
"064346-3605","13-C-266KAN"
"005768-0403","2009-CP-23-0628"
"058074-0043","2007RCCV1078"
"107046-0229","19stcv28935"
"070130-0027","16-cv-00845"
"119329-0002","00029859"
"011281-0007","HHD-CV-14-6048680-S"
"117003-4473","15-020134"
"064346-1303","10-00785"
"064344-1463","15-C-948"
"037492-0300","18CV2816"
"107046-0228","RG19030931"
"058110-0122","07-12279 RWZ"
"064346-5976","14-15262-NP"
"106964-7476","April Term 2016 No. 1021"
"009532-1580","14CV8482"
"064346-0083","CGC-04-434429"
"101286-0002","04 CV 3316"
"097056-0110","17-cv-01310"
"054553-0077","2:12-cv-1335"
"054841-0228","656276/17"
"009532-1755","16-cv-12398  17-1893"
"054064-0059","50-346-L"
"051439-0116","05 CV 5811"
"064346-5950","14-007405-NP"
"025010-0205","BC443701"
"064547-0001","0780084"
"032231-0011","16-cv-00985"
"064346-0030","CGC-05-441989"
"103418-0001","12CV02099"
"028529-0016","10 CV 9085"
"062016-0044","19 cv 9836"
"067696-1396","CGC09275415"
"064346-1564","CGC10275640"
"101502-0020","18-1948  "
"097027-0008","400318/11"
"064346-3990","13-013413"
"018743-0175","01-16-0001-4800"
"097057-0030","16OP50638"
"117003-8968","161200458"
"097015-0191","ESX-L-3181-08"
"064333-6466","12-C-2236KAN"
"064333-7270","BC461760"
"010601-0070","18 cv 0002"
"027250-0162","ric1903252"
"064333-3560","C0903786JSW"
"064346-2977","12-C-1208"
"105957-0001","015-08603"
"064333-0115","BC343305"
"064346-1706","BC441422"
"064346-5667","14-C-497"
"107046-0110","BC672463"
"114262-0037","18-cv-00507"
"064346-6424","16-C-126 KAN"
"020787-2103","12-C-1740"
"064333-1961","RG08409671"
"001515-0171","P-2016-2534980"
"064346-0980","BC384223"
"069062-0016","10CV02931"
"111118-0009","BC678226"
"064333-7058","11-C-823"
"064346-1191","06-13607"
"064333-7721","11-C-1347"
"001047-0005","CGC11510311"
"059250-0019","8922"
"001429-0001","3:09-cv-2231"
"064318-2465","16-C-1873 KAN"
"064346-5993","2014-2566"
"064338-0192","RG12621891"
"005768-0359","07-3945"
"064346-2576","12-C-14"
"124402-0001","19-cv-0295"
"039408-0527","13 cv 5619"
"064333-2079","BC399441"
"025010-0288","BC573732"
"067696-1968","RG15755791"
"116695-0001","BC594068"
"064333-7304","N11C-06-276 ASB"
"009532-1702","15-cv-11138"
"011558-0146","2016-12603-CA-04"
"064346-3476","13-004189"
"009532-1536","14-2-20835-9 KNT"
"064346-3187","CGC12276106"
"064318-1684","16-003007"
"104305-0014","480-2015-01453"
"052094-0093","01-18-0003-0223"
"117003-7727","16072200"
"064346-0477","CGC08274718"
"058074-0257","13-2334"
"020787-4759","01-15081 (27)"
"010249-0006","18-00300"
"064346-1242","10-003559"
"052766-0104","18-5629"
"164346-2250","170501659"
"009532-1199"," 2011-L-009799"
"100098-0009","DC-09-05450-A"
"025865-0177","12-2647"
"039408-0805","3:14-cv-15"
"067654-0388","24X09000081"
"064323-0016","BC355757"
"097068-0023","16-cv-10951"
"097062-0002","17-cv-60081"
"067654-0923","0001908-12"
"000093-0001","2011 CA 002237 B"
"010448-0027","3:11-cv-842-KI"
"065678-0069","14-cv-02035"
"064333-3885","BC432612"
"064346-2906","120602463"
"064347-1505","2015L005731"
"064346-2783","2012-2405"
"064333-4835","BC441422"
"103988-0001","14-cv-208"
"031895-0645","24X17000015"
"040699-0279","11 cv 4040"
"106964-0443","09-C-371"
"052701-0483","2012-CA-006994"
"009532-1113","112CV217777"
"049673-0439","531-201701354"
"069457-0108","5:12-cv-04087"
"010514-0001"," COCE 11 02549"
"109435-0002","15-CV-0132"
"119314-0005","18-0003842"
"106524-0091","15005712"
"025010-8257","19-0182"
"064612-0027","SACV1400908"
"051439-0153","08-cv-2793"
"106964-8590","16-C-1690"
"064333-1309","07-4929"
"058160-0005","05 CV 7116"
"064333-9918","RG12647241"
"122281-0001","BC712680"
"117234-0001","14-cv-00809"
"039821-0408","530-2015-02984"
"056820-0006","5:07-cv-04275"
"064333-7617","11-C-1534"
"009532-1834","16015076CD"
"064345-0182","CGC07274169"
"064803-0001","07-210"
"064346-1568","2010-17444"
"039821-0330","2:12-cv-05392"
"064329-2127","15-021258"
"020787-4851","13-C-432KAN"
"013183-0098","19 cv 5669"
"060725-0089","IPR2018-01175"
"000028-0773","09-01195"
"002579-0268","SACV1500749"
"039408-0251","10-L-4132"
"060771-0160","37201400038364CUOECTL"
"164346-2202","17-008050"
"064333-9370","12-005848."
"068068-0030","N/A"
"067696-1294","CGC09275076"
"121882-0001","17CV3094790"
"054816-0049"," 17-2-26522-5"
"034664-0346","09-CA-191040"
"039408-0035","3:10-cv-00438"
"039408-0715","381076/13"
"058440-0014","B185672"
"064346-6634","2016 Term April No. 00155"
"000741-0123","15 cv 6976"
"053537-0081","18-00435"
"108520-0001","EDCV071471 TJH"
"064346-1049","09-C-1775"
"100383-0063","30-2010-00412802"
"104907-0007","BC531421"
"054345-0036"," 12 CV 2418   "
"048673-0042","18-23953-E"
"063760-0006","112CV01493"
"007568-0351","2240"
"049673-0927","01249"
"049673-1033","19-5835 "
"064333-5839","CGC12276005"
"008099-0003","11-002087"
"009532-1055","2011 CA 006430 B"
"066439-0001","HG07335770"
"064346-0721"," CGC09275076"
"039408-0655","010646/13"
"066432-0025","C1205259 JCS"
"064329-1523","14-C-418"
"001520-1476","SCV 241581"
"117003-4670","2015-CV-2845-AS"
"064346-1268","10-C-403"
"108802-0018","18-11086    01-19-0002-5927"
"110164-0001","RG14727743    A143544"
"125252-0001","19 cv 6018"
"000093-0067","BC693130"
"064195-0003","06-CV-6112"
"101026-0018","3:12-cv-2620-D"
"064329-0423","11-003056-NP"
"039408-0839","010089/11"
"116650-0001","16-01137; 16-cv-00467  18-3325"
"106964-1430","2014-3195"
"105645-0001","B271781  BC578821"
"009532-1673","15 cv 5345"
"064346-8243","14-015191-NP"
"064345-0209","07-4923"
"009532-2540","18-02271"
"020787-2114","12-C-1745"
"066569-0002","C074331RMWHRL"
"049673-0229","DOCKET NO. 16-0115"
"104949-0004","30201901107705"
"062074-0033","09CV435 (SJF) (ARL)"
"020787-8587","15-000923"
"117003-7738","160801351"
"058074-0301","2015-001366"
"042160-0035","CV03-01431 PMP"
"097043-0082","306926/15"
"069457-0158","215CV00318"
"010886-0049","15-cv-00114"
"066842-0071","18-1468"
"100383-0036","408CV00568WDGK"
"064329-1647","14-008224-NP"
"018180-0306","215CV01269"
"116659-0001","16-00288-MRH"
"101851-0007","18-00140"
"064347-0020","CGC06452679"
"064346-1839","GD-11-005387"
"064333-2935","RG09444513"
"164346-2253","17-007819-NP"
"011558-0121","15 CH 01755"
"100478-0103","18cv002633"
"097081-0029","18-4446"
"117050-0001","1000/1009 CD 2019"
"008091-0008","701123/15"
"008742-0177","02338"
"107180-5001","IPR2016-01206"
"102815-0009","16-0443   "
"061583-0042","14-CA-4140 (L)"
"051439-0296","156697/12 "
"010663-0008","16-cv-21904"
"009532-2392","19-00444"
"049673-0336","RG16831996"
"064346-4786","13-013477-NP"
"111118-0014","2712"
"104052-0003","218cv05146"
"109543-0001","WO-CV-201401563"
"064333-8133","RG11599656"
"062021-0003","06-L-1046"
"097061-0004","17-00404"
"100383-0141","BC492778"
"025010-0296","BC577240"
"039408-0286","122216LWC"
"064346-7166","14-007576-NP"
"107046-0164","19stcv03068"
"064333-9487","CGC11275958"
"067654-0747","24X09000179"
"051439-0305","524-2013-00410"
"067696-1125","CGC07274380"
"063134-0037","07-CI-01558"
"097016-0292","A18456/07"
"022262-0730","30-2011-00529904"
"009532-1060","2:11-cv-05621"
"064346-4657","13-011883-NP"
"039408-1817","17-cv-05461"
"121446-0010","19CECG02301"
"106067-0004","16 cv 1342"
"039408-1622","011857/14"
"034664-1144","1831090"
"057589-0027","211CV03135GEBKJN"
"064346-8984","2015-1998"
"105486-0007","511-2015-01973"
"106119-0002","16-cv-02914"
"064346-5080","CGC-13-276218"
"064333-6091","2:12-cv-09384"
"052434-0074","13cv 0880"
"064346-8043","14-014870-NP"
"000689-0030","16A19620"
"018180-0239","2012-FRS-00072"
"010849-0044","551-2015-01629"
"164346-0399","16-011381"
"129950-0001","217cv06184"
"064318-0092","CGC08274776"
"067696-1941","CGC14276358"
"117003-8209","16-016032"
"064318-1060","15-C-908 KAN"
"117003-0002","15-C-141 "
"066441-0009","2:12-cv-4439-SVW (PJWx)"
"052434-0104","CGC13528761"
"037492-0104","AAA - American Arbitration Association"
"102815-0003","92-0333"
"064318-0086","MID-L-4117-08-AS"
"049673-0953","19-0947"
"066024-0010","FL- 03174"
"064333-0063","BC332560"
"124516-0001","19-1521"
"049389-0469","EC062813"
"063749-0006","1:03-cv-02663"
"010601-0036","15-3716"
"049065-0354","14-00120"
"064329-1954","15-007060-NP"
"106964-5489","15-019158"
"064318-2078","GD 16-016032"
"110990-0001","2:15-cr-00183"
"064346-2041","11 -C-749"
"064329-1553","14-000024-NP"
"105597-0003","710908/15"
"109277-0004","15-50953"
"009532-3136","19-4676"
"064346-7769","CGC-14-276288"
"009532-2527","18-0459"
"064620-0005","GIC845037"
"064318-0711","14-005234-NP"
"066400-0004","BC331516"
"106964-9263","17-008051-NP"
"106964-7472","GD-16-003158"
"039408-1877","19-2852"
"060718-0027","10131606"
"064346-0142","CGC-05-445645"
"064318-0297","11-C-56"
"010768-5004","IPR2015-01164   17-1305"
"064346-0455","CGC08274574"
"119303-0001"," 37-2011-00086006"
"122818-0001","15-1067"
"049065-0179","08 CV 152"
"039529-0124","BC371046"
"066629-0045","510-2007-04034"
"101096-0009","6:13-cv-00180"
"064346-3677","11-007828- NP"
"066629-0014","07-90292"
"058128-0018","4:12-cv-000694"
"106969-0727","140103261"
"104907-0975","62CV154651 "
"053537-0071","524-2016-00117"
"001520-0094","13CV00077-TLN-KJN"
"064333-1002","CGC-07-274277"
"054345-0025","8:10CV780T33AEP"
"064346-0345","CGC07274066"
"164346-2421","17-C-845"
"052715-0672","19-01998"
"064346-0406","CGC-07-274470"
"069700-0051","1:13-cv-20650"
"114262-0054","19-2569"
"111118-0063","2019CH13860"
"064318-0848","14-012911-NP"
"164346-0869","16-019393"
"118544-0032","18-03370"
"064333-5098"," 01-10-CA-6284"
"064346-3062","BC491529"
"000484-0032","11397"
"020787-7523","13-cv-61510"
"039408-0478","503874/13"
"064346-1967","11-C-747"
"064346-4369","634741"
"104907-0135","14-008510"
"117003-9418","16-C-1873 KAN"
"020787-8009","13-22201"
"097013-0140","File#: A88-344-520"
"061415-9110","91,210,148"
"101743-0011","502010CA006123XXXXMBAD"
"058074-0178","08-31282-elp7"
"059491-0066","151112/12"
"002705-0002","RG09486022"
"106967-0238","2014-1159"
"064336-0170","15-C-2066"
"115713-0058","600479/17"
"103516-6044","1425021439"
"010768-0051","17-cv-01500"
"020787-7819","13-C-1242KAN"
"064333-7934","BC472444"
"049673-0250","533-2016-00401"
"111118-0008","BC709797"
"031895-0662","24X17000157"
"022262-0498","04 CV 2220"
"064336-0195","16-C-0451"
"039408-0707","1344933"
"020787-8010","GD-14-000274"
"117003-4496","GD-16-003158"
"064318-0085","MID-L-4032-08AS"
"009336-0191","2:11-cv-03866"
"067696-1401","CGC09275436"
"117003-0881","12-89823"
"064333-7005","RG11573989"
"105171-0007","16-cv-764"
"064333-4071","CGC09275222"
"068685-0015","3:07-cv-1961-N"
"069457-0140","13-3267"
"039408-1337","BC553505"
"054503-0039","11-L-010331"
"067696-1082","CGC-07-274181"
"049065-0293","12 cv 2197"
"064333-5406","11-C-23"
"107239-0001","HHD-CV-14-5037993-S"
"064346-3573","BC502021"
"064416-5991"," IPR2016-01494"
"039408-1174","14-56309"
"108827-0002","1100080839"
"056691-0013","01155596"
"065406-0001","2006-1517"
"058074-0320","12 MISC 469212 (AHS)"
"049673-0354","10184306"
"039408-1488","008362/14"
"020389-0001","2:11-cv-07867"
"070426-0001","12-38054CA13"
"021288-0887","170207666"
"070468-0011","9640-VCP"
"009974-1280","8:07-CV-01149"
"020787-9384","17C632 "
"067062-0009","09-71962CA05"
"064346-6201","15-C-2132"
"058936-0013","19-1722"
"064346-4731","13-020410"
"037492-0222","15-cv-02533"
"104519-0002","15 cv 2341"
"002451-0063","14-49734-NP"
"064346-1560","10-C-1556"
"121013-0006"," 01-19-0002-8143"
"069115-0001","CV-07-692"
"097001-0808","03-D003"
"058440-0134","M128428"
"117904-0001","16-cv-02920"
"066892-0021","BC429133"
"064345-0011","CGC-04-430286"
"061823-0001","04CC00124"
"066842-0077","18-4106"
"117584-0003","011800041716"
"064329-1430","13-22214-NP"
"058074-0246","10-1-0160-01"
"020787-8882","502004CA003925"
"117003-8896","16-0497-NP"
"058446-0027","15 cv 3004"
"064333-3705","CGC09275082"
"064346-4654","13-012083-NP"
"065678-0066","14-cv-04025"
"002157-1391","2007-001614"
"064323-0041","BC379250"
"037052-0246","11-011740-CA-21"
"052715-0583","M-E-TV-16-1034083"
"064346-3186","12-C-2006"
"064329-1666","14-C-1379"
"117298-0001","16-1433"
"039408-0024","4:09-cv-03018"
"121479-0008","19-cv-01684"
"054553-0103","14-1388"
"007054-0244","18-956"
"039408-0997","2:14-ap-04432"
"030755-0001","C125888 NC"
"064326-0054","072358"
"015802-0159","875"
"106964-2332","11-766278"
"120110-0002","CGC-18-567450"
"064328-0258","GD 16 000149"
"064333-1530","05-3051"
"031024-0063","17-cv-02664"
"097040-0059","18-5029"
"007568-0235","106312/10"
"064346-8182","14-C-185"
"063224-0050","4:07-CV-128"
"107102-0242","523387/19"
"106964-8266","16-C-143"
"107033-0574","82-CV-16-5003"
"124023-0001","19-00186"
"064346-6732","16-C-115"
"107070-0002","13 CV O8157 (RBM USDC; 13-1670 ADV 12B12080 USB"
"064346-2359","2011-7091"
"116360-0001","264679"
"104933-0001","158040/14"
"007568-0328","1784CV01960"
"039408-1145","14 cv 2725"
"020787-4752","01-015073 (27)"
"069457-0143","2:15-cv-00318"
"064318-0748","14-008395-NP"
"106965-1882","FBT-CV-11-6018955-S"
"039408-0033","3:10-cv-00436"
"100050-0004","3:09-CV-00207"
"116672-0002","CIV1700343"
"049673-0667","18 cv 11852"
"103578-0001","1220047411"
"064333-7836","003CL1100059100"
"000942-0010","1:13-cv-22158"
"064347-0004","CGC-02-413103"
"106964-7020","16-001437"
"105171-0022","BC674446"
"064346-0033","CGC-03-400136"
"034664-0665","505663/18"
"058074-0374","18-cv-00219"
"097077-0002","18-3616"
"048303-0054","546"
"064346-9446","15-014060"
"106964-4461","10-C-1434"
"052867-0092","1:09-cv-02024-BEL"
"044450-0091","2:09-cv-01672"
"058074-0280","1:12-cv-202"
"107182-0064","15-05264"
"064329-1720","14-015367-NP"
"064346-0405","CGC07274147"
"069457-0040","2:09-cv-00693"
"064346-9376","15-013568"
"032425-0050","L-761-17"
"064346-7439","14-C-1354"
"011653-0001","2:12-cv-00374- MHS-CMC"
"020787-9246","16-024391"
"009532-0506","3:06-cv-03820"
"018180-0320","15-cv-10350"
"018743-0161","01-15-0002-7105"
"064333-1311","L-10953-07"
"020787-1451","CACE-01-10791 (27) "
"059491-0025","06 CV 13574"
"104907-0627","14-C-1847"
"037793-0124","07-1228"
"000741-0183","18-cv-3405"
"010768-5008","IPR2015-01242   17-1330"
"097022-0028","2009 LTB 012322"
"097062-0100","17PRO01294"
"101205-0000","EL12-52; ES12-39"
"049673-0098","3:13-cv-01136"
"106964-8843","16-C-1873 KAN"
"053097-0075","C1205815JSW"
"064385-0100","16-17440"
"064346-2885","12-C-865 KAN"
"010733-0001","2:10-cv-00554"
"064333-5771","CGC11275798"
"001482-0045","19530"
"020787-9041","16-C-570"
"067951-0004","CGC09491798"
"064333-1641","08-L-420"
"020787-8291","14-006310-NP"
"061942-0049","540-2015-02008"
"067914-0010","09-23252 CIV-Gold"
"111806-0032","81045"
"057982-0026","07-80817"
"000942-0006","12CV1730 GPC (JMA)"
"060579-0030","12cv00038"
"068204-0003","7-11046"
"052776-0126","CV1002910EMC"
"059314-0024","CGC09485707"
"104907-0132","14-003064"
"117003-5275","Nov Term 2015 No. 1746"
"064346-8217","14-016062-NP"
"067696-2056","L-3187-15"
"060272-0177","1:12-cv-03438-CC"
"069457-0098","4:12-cv-00199"
"064333-0909","BC365542"
"103372-0012","2012-3534"
"105627-0001","404719-V"
"064346-0353","CGC-15-276412"
"049673-0709","01-18-0002-7682"
"064346-1198","CL12-304"
"039698-0041","15-33896"
"117003-1139","1306001400"
"000688-0001","0921431CIV"
"064329-0603","24-X-11-000839"
"064346-5342","13-C-1880"
"037492-0150","01-15-0004-2758"
"069087-0005","07CECG04110"
"066531-0003","C1102186 YRG"
"115599-0001","16-0681"
"049100-0116","2:12-cv-06893"
"118544-0015","18-00666"
"064346-3101","12-017521"
"045706-0134","520-2016-00188"
"060771-0190","BC706421"
"100383-0020","0911516MFW"
"097029-0081","A201106414"
"059799-0160","3:17-cv-00084"
"111118-0024","C-209-17"
"059799-0123","3:14cv-612"
"114262-0051","19-0973"
